nome_pai;eans_distintos;variacoes;exemplos_com_codigo
PEITORAL H +GUIA TOH;29;29;PEITORAL H +GUIA TOH - Alpaca - G | PEITORAL H +GUIA TOH - Alpaca - M | PEITORAL H +GUIA TOH - Alpaca - P
GUIA+PEITORAL H BASIC;27;27;GUIA+PEITORAL H BASIC - Laranja - Caqui - PP | GUIA+PEITORAL H BASIC - Bordo - Caqui - G | GUIA+PEITORAL H BASIC - Bordo - Caqui - M
COLEIRA TAG ID;13;13;COLEIRA TAG ID - alga - G | COLEIRA TAG ID - Alpaca - G | COLEIRA TAG ID - Alpaca - M
GUIA DE CORDA 1,2M;9;9;GUIA DE CORDA 1,2M - Bordô | GUIA DE CORDA 1,2M - Caqui | GUIA DE CORDA 1,2M - Fiji
COLEIRA CABRESTO;8;8;COLEIRA CABRESTO - Azul - M | COLEIRA CABRESTO - Black - G | COLEIRA CABRESTO - Black - GG
Brinquedo Osso de Bamboo Truqys para Cães;7;7;Brinquedo Osso de Bamboo Truqys para Cães - Osso Forquilha Grande | Brinquedo Osso de Bamboo Truqys para Cães - Osso Forquilha Pequeno | Brinquedo Osso de Bamboo Truqys para Cães - Osso Grande
GUIA UNIFICADA TOH;7;7;GUIA UNIFICADA TOH - Bordo | GUIA UNIFICADA TOH - Caqui | GUIA UNIFICADA TOH - Fiji
Guia + Peitoral H de gato;6;6;Guia + Peitoral H de gato  - Bordo-Caqui | Guia + Peitoral H de gato  - Caqui-Caqui | Guia + Peitoral H de gato  - Grafite-Caqui
Banheiro Higiênico Cat Toilet - Pet injet;5;5;Banheiro Higiênico Cat Toilet - Pet injet Cor:Azul | Banheiro Higiênico Cat Toilet - Pet injet Cor:Lilás | Banheiro Higiênico Cat Toilet - Pet injet Cor:Preto
JACARE PELUCIA;3;3;JACARE PELUCIA - Azul | JACARE PELUCIA - Rosa | JACARE PELUCIA - Verde
Brinquedo de Pelúcia com Corda;3;3;Brinquedo de Pelúcia com Corda - Cinza | Brinquedo de Pelúcia com Corda - Rosa | Brinquedo de Pelúcia com Corda Amarelo
Brinquedo Macaco de Borracha Maciça;3;3;Brinquedo Macaco de Borracha Maciça  - Azul Claro | Brinquedo Macaco de Borracha Maciça  - Rosa | Brinquedo Macaco de Borracha Maciça  - Verde
Antiemético Emedron Cães e Gatos;3;3;Antiemético Emedron Cães e Gatos - 10mg | Antiemético Emedron Cães e Gatos - 20mg | Antiemético Emedron Cães e Gatos - 5mg
Brinquedo Mordedor Pneu de Borracha;2;2;Brinquedo Mordedor Pneu de Borracha - Preto | Brinquedo Mordedor Pneu de Borracha - Vermelho
Food Dog Adulto - Suplemento Vitamínico, Mineral e Aminoácido para Cães;2;2;Food Dog Adulto - Suplemento Vitamínico, Mineral e Aminoácido para Cães - 500g | Food Dog Adulto - Suplemento Vitamínico, Mineral e Aminoácido para Cães - 100g
Premier Nutrição Clínica Hipoalergênico Cordeiro e Arroz Cães de Pequeno Porte;2;2;Premier Nutrição Clínica Hipoalergênico Cordeiro e Arroz Cães de Pequeno Porte Opções:10,1kg | Premier Nutrição Clínica Hipoalergênico Cordeiro e Arroz Cães de Pequeno Porte Opções:2kg
Ovo de Páscoa Pet: Bifinho com Sabores Snack e Petisco;2;2;Ovo de Páscoa Pet: Bifinho com Sabores Snack e Petisco - Carne | Ovo de Páscoa Pet: Bifinho com Sabores Snack e Petisco - Frango
Pelo e Derme 750 DHA + EPA Vetnil;2;2;Pelo e Derme 750 DHA + EPA Vetnil - 30 Cápsulas | Pelo e Derme 750 DHA + EPA Vetnil - 60 Cápsulas
Pelo e Derme Gold - Vetnil;2;2;Pelo e Derme Gold - Vetnil - 30 comprimidos | Pelo e Derme Gold - Vetnil - 60 comprimidos
Food Cat Adulto- Suplemento Vitamínico, Mineral e Aminoácido para Gatos;2;2;Food Cat Adulto- Suplemento Vitamínico, Mineral e Aminoácido para Gatos - 500g | Food Cat Adulto- Suplemento Vitamínico, Mineral e Aminoácido para Gatos - 100g
Food Dog Baixo Fósforo - Suplemento Vitamínico, Mineral e Aminoácido para Cães;2;2;Food Dog Baixo Fósforo - Suplemento Vitamínico, Mineral e Aminoácido para Cães - 100g | Food Dog Baixo Fósforo - Suplemento Vitamínico, Mineral e Aminoácido para Cães - 500g
Food Dog Zero Proteína Animal - Suplemento Vitamínico, Mineral e Aminoácido para Cães;2;2;Food Dog Zero Proteína Animal - Suplemento Vitamínico, Mineral e Aminoácido para Cães - 100g | Food Dog Zero Proteína Animal - Suplemento Vitamínico, Mineral e Aminoácido para Cães - 500g
Food Dog Sênior - Suplemento Vitamínico, Mineral e Aminoácido para Cães;2;2;Food Dog Sênior - Suplemento Vitamínico, Mineral e Aminoácido para Cães - 500g | Food Dog Sênior - Suplemento Vitamínico, Mineral e Aminoácido para Cães - 100g
TAPETE ULTRA SECÃO GREAT PETS;2;2;TAPETE ULTRA SECÃO GREAT PETS - Branco | TAPETE ULTRA SECÃO GREAT PETS - Preto
Granulado Sanitário Katbom Tradicional - Areia Higiênica para Gatos;2;2;Granulado Sanitário Katbom Tradicional - Areia Higiênica para Gatos - 3Kg | Granulado Sanitário Katbom Tradicional - Areia Higiênica para Gatos - 6Kg
BOLA OURICO LED;2;2;BOLA OURICO LED - Verde - G - 9cm | BOLA OURICO LED - Verde - M - 6cm
Shampoo Allermyl Virbac para Cães e Gatos;2;2;Shampoo Allermyl Virbac para Cães e Gatos - 250ml | Shampoo Allermyl Virbac para Cães e Gatos - 500ml
Premier Nutrição Clínica Cães Cardio Porte Pequeno;2;2;Premier Nutrição Clínica Cães Cardio Porte Pequeno Opções:10,1kg | Premier Nutrição Clínica Cães Cardio Porte Pequeno Opções:2kg
Premier Nutrição Clínica Cães Obesidade Pequeno Porte;2;2;Premier Nutrição Clínica Cães Obesidade Pequeno Porte Opções:10,1kg | Premier Nutrição Clínica Cães Obesidade Pequeno Porte Opções:2kg
Pomada CMR Cicatrizante HomeoPet;2;2;Pomada CMR Cicatrizante HomeoPet - 15g | Pomada CMR Cicatrizante HomeoPet - 60g
Granulado Sanitário Katbom Capim Limão - Areia Higiênica para Gatos;2;2;Granulado Sanitário Katbom Capim Limão - Areia Higiênica para Gatos - 3Kg | Granulado Sanitário Katbom Capim Limão - Areia Higiênica para Gatos - 6Kg
FeliComfort - Feliway Redução/Prevenção de Problemas Comportamentais de Gatos - Difusor;2;2;FeliComfort - Feliway Redução/Prevenção de Problemas Comportamentais de Gatos - Difusor - Difusor + 1 Refil 48ml | FeliComfort - Feliway Redução/Prevenção de Problemas Comportamentais de Gatos - Difusor - Refil 48ml
Food Dog Dietas Hiperproteicas - Suplemento Vitamínico, Mineral e Aminoácido para Cães;2;2;Food Dog Dietas Hiperproteicas - Suplemento Vitamínico, Mineral e Aminoácido para Cães - 100g | Food Dog Dietas Hiperproteicas - Suplemento Vitamínico, Mineral e Aminoácido para Cães - 500g
Food Dog Filhote - Suplemento Vitamínico, Mineral e Aminoácido para Cães;2;2;Food Dog Filhote - Suplemento Vitamínico, Mineral e Aminoácido para Cães - 100g | Food Dog Filhote - Suplemento Vitamínico, Mineral e Aminoácido para Cães - 500g
Food Dog Fit Fibras - Suplemento Vitamínico, Mineral e Aminoácido para Cães;2;2;Food Dog Fit Fibras - Suplemento Vitamínico, Mineral e Aminoácido para Cães - 500g | Food Dog Fit Fibras - Suplemento Vitamínico, Mineral e Aminoácido para Cães - 100g
