ID ERP;Código de barras;Nome;Motivo
923641504;;Advocate Elanco para Cães - 1 Bisnaga Avulsa;descartado — variante indefinida, não necessário
915368183;7891093941508;Aljofre Variados;descartado — produto não identificado, não necessário
848443853;7891126001629;Anticoprofágico Coprovet para Cães e Gatos 20 Comprimidos;descartado — não necessário
892089750;7897348206156;AMB INT GATOS AD CAST 7 ANOS SALM 1,5 KG + 0,15 KG;descartado — apresentação antiga com brinde
892089785;7897348204732;AMB INT GATOS FILH PELO LONG FRANG 1,5 KG;descartado — apresentação fora de linha
892089788;7897348202370;AMB INTER GATOS ADULT ATE 7 ANOS FRANG 1,5;descartado — apresentação fora de linha
892089803;7897348282327;AMBIE INTER GATOS ADULT LIGHT SALM 2 X 1,5 KG;descartado — pacote duplo (kit)
892089774;7897348204404;AMB INT GATOS DUO 2KG;descartado — apresentação fora de linha
;;PORTA SACOLA DE PLASTICO COM 1 ROLO FRIEND BRANCO;descartado — material de loja, não é produto de venda
;;PORTA SACOLA DE PLASTICO COM 1 ROLO FRIEND PRETO;descartado — material de loja, não é produto de venda
;;Sacola transporte pet BEGE UN;descartado — material de loja
